student_id,age,gender,department,semester,attendance_pct,assignment_score_avg,internal_marks_avg,semester_gpa,study_hours_per_week,participation_score,prev_semester_gpa,backlogs,financial_aid,performance_category
STU-2022-0001,24,Female,MBA,3,62.83,60.76,40.0,6.11,16.0,4.11,5.94,2,False,Medium
STU-2022-0002,19,Male,IT,1,70.4,44.75,54.38,5.69,15.6,4.14,4.92,0,False,Medium
STU-2022-0003,20,Male,CE,8,80.8,93.3,59.79,8.98,25.9,6.18,9.32,0,False,High
STU-2022-0004,18,Male,CE,2,54.48,38.46,42.8,4.02,11.8,4.25,3.44,4,False,At Risk
STU-2022-0005,25,Female,CE,1,87.11,91.13,79.69,8.26,14.5,8.37,8.01,0,False,High
STU-2022-0006,26,Female,CE,8,80.89,86.25,83.45,7.61,20.5,7.9,7.91,0,True,High
STU-2022-0007,24,Male,IT,3,51.56,72.69,50.66,7.13,10.9,6.0,6.38,2,False,Medium
STU-2022-0008,18,Male,CE,6,69.19,47.81,61.9,6.61,17.0,6.56,6.55,1,True,Medium
STU-2022-0009,26,Male,CE,4,68.56,69.51,56.72,5.81,12.7,6.19,5.07,0,True,Medium
STU-2022-0010,26,Male,CS,3,37.77,38.2,35.16,2.11,12.1,3.18,2.0,1,True,At Risk
STU-2022-0011,24,Male,CS,5,50.72,65.0,39.69,4.5,6.9,1.45,4.57,1,True,Medium
STU-2022-0012,23,Male,CE,2,79.52,52.09,54.34,6.58,11.5,3.17,6.41,1,False,Medium
STU-2022-0013,21,Female,MBA,2,78.3,83.42,90.98,8.48,18.9,6.87,8.48,0,False,High
STU-2022-0014,18,Male,CE,5,75.78,49.63,46.8,6.92,15.5,5.88,6.86,1,False,Medium
STU-2022-0015,18,Male,EE,8,53.52,35.43,62.0,4.67,2.2,4.18,3.69,2,False,At Risk
STU-2022-0016,21,Male,MBA,3,79.87,59.55,52.46,5.79,9.9,5.38,5.72,2,False,Medium
STU-2022-0017,19,Male,CS,4,84.96,65.43,87.84,8.48,13.1,7.21,8.58,1,False,High
STU-2022-0018,18,Female,MBA,3,56.08,32.61,34.84,4.09,1.0,1.19,2.78,4,False,At Risk
STU-2022-0019,20,Female,ECE,8,63.45,51.73,68.83,6.14,16.1,4.41,5.22,0,False,Medium
STU-2022-0020,19,Female,IT,4,76.68,67.71,71.36,7.26,17.3,5.03,7.37,0,False,High
STU-2022-0021,19,Male,MBA,6,45.05,51.15,20.0,4.63,4.8,4.37,4.1,4,False,At Risk
STU-2022-0022,21,Male,ME,7,56.22,42.71,36.17,5.79,5.3,2.1,5.0,0,True,Medium
STU-2022-0023,26,Female,CS,2,68.81,59.95,62.71,8.3,10.1,8.0,7.62,0,False,Medium
STU-2022-0024,22,Male,EE,6,52.75,37.41,55.16,6.31,5.0,2.71,6.08,0,False,Medium
STU-2022-0025,20,Male,CS,8,52.39,36.8,42.84,3.81,7.5,4.19,4.11,3,False,At Risk
STU-2022-0026,20,Female,CE,3,75.1,72.65,69.06,7.82,15.7,7.63,7.69,0,False,High
STU-2022-0027,27,Male,ECE,2,80.02,75.16,83.62,9.22,23.8,8.2,9.03,0,True,High
STU-2022-0028,26,Female,ME,1,60.52,49.91,23.67,4.38,11.3,4.35,3.32,4,False,At Risk
STU-2022-0029,20,Male,CS,1,90.46,75.52,78.59,8.11,22.5,8.21,7.86,0,False,High
STU-2022-0030,26,Female,IT,4,100.0,92.51,79.24,8.26,22.4,7.19,8.62,0,False,High
STU-2022-0031,26,Female,ECE,2,63.85,38.27,34.03,5.56,1.0,5.56,4.91,3,True,At Risk
STU-2022-0032,27,Female,IT,7,84.96,81.94,76.71,7.19,17.8,7.09,7.33,1,False,High
STU-2022-0033,22,Male,IT,3,67.28,64.17,55.28,6.06,9.5,7.79,6.0,3,False,Medium
STU-2022-0034,25,Male,CE,5,52.51,20.0,35.69,3.44,7.6,3.71,3.88,2,True,At Risk
STU-2022-0035,21,Female,IT,5,74.44,92.65,85.44,7.87,13.4,9.12,7.84,0,False,High
STU-2022-0036,18,Male,MBA,6,84.38,65.2,61.93,7.78,17.0,4.53,8.12,0,False,High
STU-2022-0037,26,Male,ME,5,62.73,62.5,32.07,3.9,8.0,6.0,3.45,4,False,At Risk
STU-2022-0038,23,Female,EE,6,87.51,40.0,53.45,6.97,20.1,5.8,6.79,1,False,Medium
STU-2022-0039,19,Male,ME,3,87.02,62.74,76.29,5.4,5.5,5.42,5.35,0,False,High
STU-2022-0040,20,Male,MBA,7,71.67,52.92,65.61,5.9,22.4,5.57,6.13,3,False,Medium
STU-2022-0041,27,Male,IT,5,72.51,57.11,40.0,6.91,7.9,3.76,6.69,1,False,Medium
STU-2022-0042,25,Female,MBA,8,63.0,68.14,67.58,6.08,11.1,5.09,4.95,1,True,Medium
STU-2022-0043,24,Male,ECE,5,54.8,34.59,47.66,4.85,2.3,0.71,4.5,1,True,At Risk
STU-2022-0044,24,Male,MBA,6,44.13,46.62,52.93,5.26,9.6,1.89,4.75,3,False,At Risk
STU-2022-0045,19,Female,CS,4,85.96,48.9,40.86,7.25,14.1,5.69,6.91,0,True,Medium
STU-2022-0046,24,Male,EE,3,83.09,79.39,83.26,8.19,24.3,8.48,8.36,0,True,High
STU-2022-0047,25,Male,IT,4,77.72,83.11,77.73,9.4,26.9,8.42,9.4,1,True,High
STU-2022-0048,20,Male,ECE,8,39.49,36.78,51.12,5.31,10.1,2.11,6.02,2,True,At Risk
STU-2022-0049,18,Female,CE,4,90.34,76.49,80.63,8.55,25.8,8.27,8.42,0,False,High
STU-2022-0050,27,Female,CS,5,88.67,92.18,72.81,8.38,26.0,4.71,8.83,0,False,High
STU-2022-0051,18,Female,MBA,2,77.92,80.3,77.32,8.6,17.6,7.02,8.75,0,False,High
STU-2022-0052,24,Female,IT,6,94.98,74.03,79.1,8.66,17.5,9.47,8.65,0,False,High
STU-2022-0053,21,Male,CE,8,50.0,58.14,73.3,8.1,17.6,7.85,7.43,0,False,Medium
STU-2022-0054,27,Female,CE,2,65.2,59.97,60.47,7.93,17.0,5.83,7.9,0,False,Medium
STU-2022-0055,27,Male,ME,5,79.98,74.04,79.35,7.93,15.8,6.18,8.09,0,True,High
STU-2022-0056,22,Male,CE,1,58.41,70.52,40.0,6.32,17.1,7.41,5.79,0,True,Medium
STU-2022-0057,20,Male,CS,7,62.47,35.62,31.12,3.48,7.3,0.97,2.96,3,True,At Risk
STU-2022-0058,23,Male,IT,8,76.29,62.14,59.76,6.66,13.3,4.64,6.24,0,False,Medium
STU-2022-0059,25,Female,CS,6,56.65,85.0,75.92,6.49,12.5,4.43,6.33,0,False,Medium
STU-2022-0060,20,Female,CE,1,47.79,55.23,57.26,4.92,2.5,2.41,4.67,3,True,At Risk
STU-2022-0061,25,Male,EE,8,98.17,69.94,70.74,7.54,13.7,9.62,7.17,0,False,High
STU-2022-0062,24,Male,CE,5,78.47,85.6,73.11,7.95,23.3,7.84,7.96,0,False,High
STU-2022-0063,18,Male,CS,6,74.13,74.24,67.99,9.5,27.5,8.88,9.53,0,False,High
STU-2022-0064,26,Male,CS,5,95.5,80.05,83.86,9.37,27.1,5.29,8.98,0,False,High
STU-2022-0065,19,Male,ME,1,65.88,47.93,50.77,5.42,9.1,7.08,4.84,1,True,Medium
STU-2022-0066,23,Male,CS,2,90.0,56.24,61.22,8.5,13.5,7.22,8.02,0,True,High
STU-2022-0067,26,Male,CS,1,64.03,61.24,56.92,5.97,17.3,7.02,5.43,3,False,Medium
STU-2022-0068,20,Female,IT,1,85.36,74.37,81.06,7.13,21.7,8.48,7.17,0,False,High
STU-2022-0069,22,Female,ME,8,78.57,69.92,59.33,5.97,25.0,6.01,5.26,1,True,Medium
STU-2022-0070,19,Female,ME,8,86.14,75.34,63.18,8.13,16.4,5.72,8.62,0,False,High
STU-2022-0071,19,Male,ECE,2,90.71,78.38,85.79,7.72,19.5,4.52,8.0,1,True,High
STU-2022-0072,27,Male,MBA,7,87.51,77.93,74.92,8.75,19.7,8.3,9.23,0,False,High
STU-2022-0073,22,Other,CS,7,92.87,76.29,75.6,8.67,16.4,7.96,8.72,0,False,High
STU-2022-0074,27,Male,CS,2,88.94,81.75,80.07,7.33,24.9,10.0,7.47,0,True,High
STU-2022-0075,27,Male,ECE,6,100.0,72.67,58.03,7.59,21.1,5.39,7.56,1,False,High
STU-2022-0076,19,Male,MBA,6,83.5,71.27,75.93,8.69,16.7,4.0,8.43,0,True,High
STU-2022-0077,27,Female,ECE,8,74.4,65.06,69.33,6.84,16.0,6.57,6.84,1,False,Medium
STU-2022-0078,23,Male,IT,3,80.57,56.58,66.39,7.75,15.7,4.33,7.31,0,False,High
STU-2022-0079,18,Female,MBA,2,68.92,64.19,62.49,7.76,13.5,5.92,7.81,0,False,Medium
STU-2022-0080,21,Male,CE,2,52.24,53.02,53.72,3.5,6.8,6.0,2.63,3,False,At Risk
STU-2022-0081,24,Male,CS,6,84.1,68.2,76.71,9.02,19.3,8.55,9.16,0,False,High
STU-2022-0082,20,Female,CE,8,89.62,92.77,67.44,7.13,18.5,7.45,7.21,0,False,High
STU-2022-0083,19,Male,CS,1,90.0,45.44,55.81,6.11,22.1,2.0,6.12,3,False,Medium
STU-2022-0084,21,Female,CS,6,46.92,35.88,62.0,4.16,1.3,3.39,3.32,2,True,At Risk
STU-2022-0085,25,Male,IT,1,44.57,20.0,22.99,4.96,10.1,3.84,3.98,1,True,At Risk
STU-2022-0086,26,Female,MBA,8,49.43,58.2,34.07,5.22,7.4,1.12,4.17,5,False,At Risk
STU-2022-0087,27,Female,ECE,7,53.31,34.42,62.0,4.56,8.6,4.22,3.77,4,True,At Risk
STU-2022-0088,24,Female,CE,6,82.89,66.01,81.83,6.2,15.0,3.95,5.79,1,False,High
STU-2022-0089,24,Male,CE,2,89.05,62.02,69.25,8.19,15.2,6.93,7.79,0,True,High
STU-2022-0090,18,Female,MBA,2,68.3,49.74,45.36,6.68,19.2,8.0,6.3,0,False,Medium
STU-2022-0091,19,Female,CE,6,77.89,67.1,70.62,6.6,19.6,8.25,6.46,0,False,High
STU-2022-0092,27,Male,EE,2,96.11,64.8,75.6,8.09,27.3,4.82,8.16,0,True,High
STU-2022-0093,23,Female,CS,1,85.14,77.25,63.05,9.28,18.2,6.59,9.24,0,False,High
STU-2022-0094,27,Female,CS,1,81.96,49.03,44.87,5.19,20.0,7.74,5.06,1,False,Medium
STU-2022-0095,25,Female,MBA,6,49.14,43.55,50.73,4.25,9.9,3.08,3.79,0,True,Medium
STU-2022-0096,27,Male,ECE,8,26.02,25.47,48.04,2.08,8.2,1.6,2.0,1,False,At Risk
STU-2022-0097,21,Female,ECE,4,87.21,72.79,84.58,8.09,24.7,6.4,8.08,0,False,High
STU-2022-0098,25,Female,CS,4,100.0,79.45,82.01,8.79,31.1,6.31,8.66,0,True,High
STU-2022-0099,26,Female,CS,8,42.75,40.08,56.68,4.89,6.6,4.35,4.79,2,False,At Risk
STU-2022-0100,23,Female,IT,7,68.09,41.8,70.71,8.27,19.6,2.27,8.78,0,False,Medium
STU-2022-0101,20,Male,EE,2,78.22,62.58,60.9,5.55,13.3,3.05,5.76,1,False,Medium
STU-2022-0102,22,Male,MBA,8,67.51,78.83,75.5,7.67,20.6,5.47,7.64,0,False,High
STU-2022-0103,20,Female,ECE,4,61.41,62.63,63.29,6.82,11.1,4.16,6.39,2,False,Medium
STU-2022-0104,21,Male,MBA,6,56.34,49.66,43.67,5.41,8.5,2.77,5.11,1,False,Medium
STU-2022-0105,27,Male,CS,5,72.05,81.0,84.56,7.56,24.2,8.57,7.74,0,False,High
STU-2022-0106,24,Female,MBA,1,90.45,76.52,74.96,8.23,21.3,8.66,8.89,0,False,High
STU-2022-0107,26,Male,ECE,8,73.52,62.7,83.81,8.97,23.5,6.86,8.49,0,True,High
STU-2022-0108,25,Female,CE,3,77.63,73.62,44.48,7.49,12.9,4.72,7.37,1,False,Medium
STU-2022-0109,25,Female,ECE,3,84.28,49.9,76.73,6.84,10.5,5.42,6.86,0,False,High
STU-2022-0110,26,Male,ECE,6,85.61,77.84,79.07,7.56,20.6,8.54,7.79,0,False,High
STU-2022-0111,22,Male,EE,2,86.24,97.73,73.67,7.91,16.2,5.65,7.55,0,False,High
STU-2022-0112,20,Male,MBA,2,64.81,61.94,68.38,6.57,13.5,6.88,6.25,2,False,Medium
STU-2022-0113,23,Male,MBA,4,79.12,63.2,52.78,8.5,18.6,3.1,8.09,3,False,Medium
STU-2022-0114,23,Male,IT,2,61.18,50.09,42.65,2.4,4.4,0.0,2.04,1,True,At Risk
STU-2022-0115,23,Male,ME,6,83.44,41.84,54.37,6.02,22.2,5.35,5.22,0,False,Medium
STU-2022-0116,26,Male,CS,4,60.59,39.34,44.04,4.36,7.0,3.86,4.46,2,False,At Risk
STU-2022-0117,21,Female,EE,7,98.72,69.52,79.04,6.68,15.4,7.41,6.8,0,False,High
STU-2022-0118,22,Male,MBA,5,48.78,26.25,44.2,4.18,9.3,3.38,3.2,3,False,At Risk
STU-2022-0119,21,Male,IT,2,90.86,68.09,79.54,9.04,20.5,8.73,9.13,1,True,High
STU-2022-0120,19,Male,IT,1,41.23,42.94,53.06,5.61,11.9,3.61,5.51,3,False,At Risk
STU-2022-0121,24,Male,ME,5,69.71,62.9,62.37,6.14,10.0,7.45,5.54,1,False,Medium
STU-2022-0122,24,Female,ME,3,58.72,54.02,58.55,7.26,14.2,4.47,7.34,3,False,Medium
STU-2022-0123,19,Male,CE,6,49.67,50.89,38.3,4.89,6.7,1.6,4.37,5,True,At Risk
STU-2022-0124,19,Male,MBA,1,37.82,31.46,20.0,6.26,2.6,2.87,5.62,4,False,At Risk
STU-2022-0125,25,Other,ECE,8,87.42,64.73,66.07,8.62,15.5,7.78,8.58,0,False,High
STU-2022-0126,26,Female,IT,5,45.63,53.75,48.93,4.23,1.0,3.94,4.09,3,True,At Risk
STU-2022-0127,18,Male,MBA,6,87.63,85.2,71.02,8.53,20.7,7.48,8.78,1,False,High
STU-2022-0128,25,Male,ECE,2,62.73,69.2,74.47,6.09,8.4,5.92,6.47,0,True,Medium
STU-2022-0129,27,Female,CE,1,91.19,86.98,81.07,8.53,23.2,4.0,8.45,0,True,High
STU-2022-0130,27,Female,ME,2,62.58,46.74,72.63,6.06,26.8,4.65,5.93,1,False,Medium
STU-2022-0131,24,Female,EE,8,91.23,73.59,69.45,8.2,21.1,6.96,8.41,0,False,High
STU-2022-0132,20,Male,CE,6,81.55,61.17,58.78,7.71,17.2,3.96,8.25,1,False,High
STU-2022-0133,23,Other,CE,3,87.43,66.99,81.74,9.37,30.4,8.38,9.2,0,False,High
STU-2022-0134,21,Female,ECE,8,34.39,46.47,37.46,2.0,6.4,4.55,2.0,1,False,At Risk
STU-2022-0135,26,Female,CS,4,62.46,52.46,49.31,4.95,11.6,6.57,4.82,0,True,Medium
STU-2022-0136,19,Female,CS,5,70.31,69.37,57.19,6.55,16.6,3.16,6.14,1,False,Medium
STU-2022-0137,27,Other,IT,3,34.76,31.12,34.71,5.83,8.1,2.31,5.52,1,False,At Risk
STU-2022-0138,27,Male,MBA,6,72.35,67.51,55.65,5.62,12.9,3.81,5.68,0,False,Medium
STU-2022-0139,20,Female,EE,4,70.17,75.75,53.54,5.86,11.6,4.07,5.71,0,True,Medium
STU-2022-0140,22,Female,CE,4,98.0,90.66,79.04,9.48,32.1,7.18,9.27,0,True,High
STU-2022-0141,27,Male,EE,7,95.48,73.45,61.35,8.34,23.8,9.14,8.7,0,False,High
STU-2022-0142,25,Male,CE,4,56.44,25.21,57.57,6.5,7.7,3.06,5.84,4,False,At Risk
STU-2022-0143,22,Male,EE,6,85.19,89.3,75.36,8.52,16.7,8.01,8.46,0,True,High
STU-2022-0144,22,Female,CS,4,92.89,79.56,73.17,8.44,20.5,7.7,8.83,0,False,High
STU-2022-0145,26,Male,MBA,4,84.97,61.77,50.01,6.1,18.2,6.32,5.8,0,False,High
STU-2022-0146,26,Female,ECE,2,68.33,77.82,65.13,6.84,15.9,4.77,6.76,0,False,High
STU-2022-0147,25,Male,MBA,6,43.89,53.33,58.51,5.21,1.0,3.39,5.23,5,False,At Risk
STU-2022-0148,18,Female,ME,4,58.83,64.73,66.5,5.73,14.8,2.94,4.62,2,False,Medium
STU-2022-0149,25,Male,ME,6,71.51,58.97,63.88,5.94,18.2,6.24,5.76,1,False,Medium
STU-2022-0150,24,Male,ME,7,51.85,23.6,48.34,4.95,3.5,2.22,4.52,4,False,At Risk
STU-2022-0151,19,Female,EE,6,48.75,41.97,42.84,5.36,3.3,3.56,5.35,4,False,At Risk
STU-2022-0152,18,Male,MBA,7,89.01,69.04,75.12,7.51,19.7,9.22,7.43,0,True,High
STU-2022-0153,24,Male,CE,4,76.24,63.43,74.79,6.99,25.5,5.66,6.75,0,False,High
STU-2022-0154,23,Male,ME,4,70.16,84.96,54.93,4.5,6.8,8.0,4.02,1,False,Medium
STU-2022-0155,18,Male,EE,8,63.01,37.07,47.76,6.5,8.5,2.93,5.61,3,True,Medium
STU-2022-0156,25,Male,ME,7,47.67,40.48,43.36,4.96,6.7,2.65,3.9,4,False,At Risk
STU-2022-0157,25,Female,IT,5,67.17,63.47,76.12,7.22,12.7,4.16,6.16,0,False,High
STU-2022-0158,25,Female,CS,4,64.81,63.69,64.42,5.63,21.1,5.35,5.44,1,True,Medium
STU-2022-0159,23,Male,MBA,4,74.1,78.87,65.59,7.23,5.0,7.84,6.96,2,True,Medium
STU-2022-0160,18,Male,CS,7,40.78,56.58,37.98,3.46,6.3,4.88,3.03,3,False,At Risk
